DataYear,BuildingType,PrimaryPropertyType,Latitude,Longitude,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,mean_GFA_per_floor,Number_of_Use_Types
2016,NonResidential,Small- and Mid-Sized Office,47.67828,-122.26456,1.0,96300,0,Office,16319835.0,222.02,14,32100.0,2
2016,Nonresidential COS,Other,47.59545,-122.32146,1.0,67356,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",7475577.5,204.08,66,33678.0,4
2016,NonResidential,Small- and Mid-Sized Office,47.53827,-122.28406,1.0,54765,0,Office,4253369.5,61.21,58,27382.5,2
2016,NonResidential,Other,47.53722,-122.284,1.0,89821,0,Other - Lodging/Residential,1950092.5,100.46,7,14970.166666666666,3
2016,NonResidential,University,47.65147,-122.36122,1.0,52611,0,College/University,4116871.5,104.26,36,17537.0,1
2016,NonResidential,Residence Hall,47.65068,-122.36331,1.0,139600,37500,Residence Hall/Dormitory,4448582.5,129.39,15,20420.0,1
2016,SPS-District K-12,K-12 School,47.70763,-122.29453,1.0,236758,0,K-12 School,8355988.5,222.78,5,78919.33333333333,2
2016,NonResidential,Other,47.60462,-122.31549,3.0,250981,0,Other,13071700.0,422.39,45,35854.42857142857,2
2016,NonResidential,Small- and Mid-Sized Office,47.536,-122.31768,1.0,64015,0,Office,3242077.75,49.58,9,16003.75,3
2016,NonResidential,Other,47.7066,-122.321,1.0,54224,0,Other/Specialty Hospital,7265178.0,231.53,52,13556.0,1
2016,NonResidential,Retail Store,47.70619,-122.32586,1.0,124342,0,Retail Store,8765978.0,66.3,51,24868.4,1
2016,NonResidential,Other,47.70956,-122.3345,1.0,55442,0,Financial Office,3191228.25,83.7,20,13860.5,3
2016,NonResidential,Self-Storage Facility,47.61233,-122.3171,1.0,84870,0,Self-Storage Facility,1381590.125,51.11,106,14145.0,1
2016,Campus,University,47.69936,-122.33401,11.0,694072,111625,College/University,35891484.0,362.82,46,194149.0,1
2016,NonResidential,Warehouse,47.55152,-122.31869,1.0,114297,0,Non-Refrigerated Warehouse,2100097.75,69.44,112,22859.4,1
2016,NonResidential,Warehouse,47.55901,-122.33328,1.0,234144,0,Non-Refrigerated Warehouse,6744317.0,297.43,79,117072.0,1
2016,NonResidential,Retail Store,47.52254,-122.36627,1.0,64984,0,Retail Store,2944296.25,35.78,50,32492.0,1
2016,NonResidential,Retail Store,47.52254,-122.36627,1.0,67745,0,Retail Store,9230223.0,369.14,51,33872.5,1
2016,SPS-District K-12,K-12 School,47.52915,-122.36511,1.0,367884,0,K-12 School,12265516.0,272.85,6,122628.0,1
2016,NonResidential,Other,47.67767,-122.39631,1.0,56000,0,Other,1851260.5,59.34,43,14000.0,1
2016,NonResidential,Self-Storage Facility,47.54508,-122.37737,1.0,52088,0,Self-Storage Facility,1377519.5,48.99,47,17362.666666666668,1
2016,NonResidential,Hotel,47.62972,-122.32906,1.0,123920,30000,Hotel,9373179.0,309.6,18,15653.333333333334,3
2016,Nonresidential COS,Other,47.62759,-122.33661,1.0,50000,0,Museum,7548807.0,225.69,116,25000.0,1
2016,Nonresidential COS,Warehouse,47.62591,-122.34084,1.0,50292,0,Non-Refrigerated Warehouse,430473.6875,3.0,90,16764.0,4
2016,NonResidential,Hotel,47.62782,-122.34045,1.0,207656,54341,Hotel,11171988.0,338.16,18,19164.375,1
2016,Nonresidential COS,Small- and Mid-Sized Office,47.70044,-122.34136,1.0,91130,0,Office,9472358.0,175.77,59,30376.666666666668,5
2016,NonResidential,Hotel,47.70916,-122.33216,1.0,64893,0,Hotel,6197825.0,208.26,48,12978.6,1
2016,NonResidential,Small- and Mid-Sized Office,47.60105,-122.33518,1.0,44558,0,Office,1677002.25,28.27,116,11139.5,3
2016,Nonresidential COS,Distribution Center,47.57199,-122.32811,1.0,179161,0,Distribution Center,9436408.0,96.43,92,59720.333333333336,4
2016,Nonresidential COS,Warehouse,47.57199,-122.32811,1.0,58640,0,Non-Refrigerated Warehouse,3928695.25,27.39,51,19546.666666666668,4
2016,NonResidential,Hotel,47.59269,-122.33372,1.0,168449,14567,Hotel,12726789.0,388.37,11,15388.2,3
2016,NonResidential,Warehouse,47.57507,-122.35747,0.0,79600,0,Non-Refrigerated Warehouse,2411402.25,16.81,100,15920.0,1
2016,NonResidential,Other,47.70281,-122.32532,1.0,419848,335109,Parking,9134963.0,162.41,8,12105.57142857143,5
2016,NonResidential,Mixed Use Property,47.6239,-122.35756,1.0,110785,0,Multifamily Housing,10557910.0,92.91,14,22157.0,5
2016,NonResidential,Warehouse,47.65097,-122.34227,1.0,75397,8161,Non-Refrigerated Warehouse,549181.375,9.63,25,16809.0,2
2016,NonResidential,Senior Care Community,47.59626,-122.3218,1.0,102796,12611,Senior Care Community,10105379.0,193.94,17,15030.833333333334,6
2016,NonResidential,K-12 School,47.66568,-122.31368,1.0,55653,0,K-12 School,1377627.0,72.88,88,18551.0,1
2016,NonResidential,Hotel,47.66151,-122.31457,1.0,106860,0,Hotel,11935719.0,469.57,85,6285.882352941177,1
2016,NonResidential,Small- and Mid-Sized Office,47.71895,-122.29475,1.0,50759,0,Office,3147042.0,49.09,44,8459.833333333334,2
2016,NonResidential,Worship Facility,47.66182,-122.31113,1.0,56772,0,Worship Facility,2439484.75,84.57,64,18924.0,1
2016,NonResidential,Worship Facility,47.6626,-122.31164,1.0,103000,0,Worship Facility,4854429.5,149.93,64,25750.0,1
2016,NonResidential,Other,47.61103,-122.33238,1.0,128766,0,Other - Entertainment/Public Assembly,6057410.0,57.21,102,16095.75,3
2016,NonResidential,Residence Hall,47.6079,-122.33266,1.0,107572,0,Residence Hall/Dormitory,5572503.0,254.87,103,10757.2,3
2016,NonResidential,Other,47.60699,-122.33481,1.0,230880,0,Other,62197176.0,433.6,61,14430.0,1
2016,NonResidential,Other,47.63965,-122.3783,1.0,76086,0,Other,3267564.0,101.41,43,38043.0,1
